Year,total_return,total_compensation,Bonus
2022,0,1862000,686000
2023,0,2433000,1064000
2022,0,4771520,787000
2023,0,3603000,1046000
2022,0,2286000,1084000
2023,1,4100000,1167000
2022,0,2273011,399085
2023,0,2064178,296017
2022,0,5909000,1777000
2023,0,8142000,3120000
2022,0,5292000,1846000
2023,0,4836000,2020000
2022,0,1673000,652000
2023,0,1281000,648000
2022,0,5523000,2001000
2022,0,8579000,3127000
2023,0,12718000,2839000
2022,0,8579000,2490000
2023,0,12718000,2613000
2022,0,5197000,1949000
2023,0,4641000,1425000
2022,0,4936000,1186000
2023,0,4588000,1650000
2022,0,2738000,1151000
2023,1,1756000,483000
2022,0,1507155,787875
2023,0,3636444,1875000
2022,0,1237665,556640
2023,0,1609673,668178
2022,0,4505100,1657500
2023,0,6284900,1609900
2022,0,5428000,1404000
2023,0,8034000,1839000
2023,0,4289000,1298000
2022,0,4073000,911000
2022,0,4490000,1422000
2023,0,8231000,1426000
2022,0,3299000,2090000
2023,0,7494000,2190000
2022,0,4155280,1074686
2022,0,4419000,1339000
2023,0,4264000,1873000
2022,0,3697000,1653000
2023,0,3106000,1008000
2023,0,402000,79000
2022,0,3758000,889000
2023,0,4118000,943000
2022,0,8579000,1982000
2023,0,7371000,1199000
2022,0,2034000,1201000
2023,1,2194000,1326000
2022,0,4733000,1110000
2023,0,4535000,3206000
2022,0,6071000,3842000
2023,0,5833000,3808500
2022,0,8449000,3143000
2023,0,12718000,3774000
2023,0,1552833,554213
2022,0,1940000,887000
2023,0,2335000,845000
2022,0,2350000,1014000
2023,0,5763000,1880000
2022,0,5562000,2195000
2023,0,10644000,2063000
2022,0,2571000,1004000
2023,0,2517000,334000
2022,0,3026000,1608000
2023,0,3526000,1624000
2022,0,7851000,3842000
2023,1,7267600,3808500
2022,0,3339000,1349000
2023,1,3850000,1403000
2022,0,6215000,2613000
2023,1,8542000,2357000
2022,0,5432000,2185000
2023,0,8601000,1919000
2022,0,3710000,757000
2022,0,4103002,785593
2023,0,4192423,789473
2022,0,3080000,415000
2023,0,5088000,1417000
2022,0,1887800,634400
2023,0,1964400,265200
2024,,5073100,364900
2022,0,2000000,1085000
2023,0,2657000,615000
2022,0,3767000,1338000
2023,0,3681000,1277000
2022,0,4854000,1433000
2023,0,5127000,1582000
2022,0,4196451,1798556
2023,0,3226277,575934
2022,0,1173229,255000
2023,0,2746000,1748000
2022,0,1000000,464000
2023,1,1025000,463000
2022,0,6614000,1116000
2023,0,7248000,1118000
2023,0,2299942,245000
2022,0,4148000,1236000
2023,0,2529000,701000
2024,,4520000,1362000
2022,-1,2004000,1191000
2023,0,1957000,1106000
2022,0,3112000,1053000
2023,0,2901000,1227000
2023,0,12535658,2638000
2022,-1,2143563,1087021
2023,0,2252464,1271887
2022,0,8579000,2046000
2023,0,12718000,2396000
2022,0,5235000,694000
2023,0,6074000,860000
2023,0,3619373,1845900
2023,0,1346649,717269
2023,1,12718000,3808500
2022,0,4324300,1599900
2023,0,3339900,981000
2022,0,3599000,1675000
2023,0,4947000,1700000
2022,0,4696000,3842000
2023,0,6190000,3808500
2022,0,2524000,1237000
2023,1,4000000,993000
2022,0,3915000,1065000
2023,0,2883000,958000
2023,0,7940000,2710000
2022,0,5534000,1674000
2022,0,2580000,1618000
2023,0,4190000,1677000
2022,0,5955246,3842000
2023,0,4658252,3080526
2022,0,2156266,388413
2023,0,795172,66181
2022,0,4655000,3292000
2023,0,4627000,3281000
2022,0,6408000,1499000
2023,0,7837000,1462000
2022,0,3948400,737600
2023,0,3209300,358800
2022,0,4745000,3206000
2023,0,4443000,2730000
2022,0,1629000,730000
2023,1,2185000,1054000
2023,0,4670406,1862000
2022,0,858555,207270
2023,0,1377895,332482
2023,0,875490,210000
2022,0,2687000,968000
2023,0,3689000,1206000
2022,0,2512408,941186
2023,0,2774255,1022519
2022,0,6682000,2395000
2023,0,4498000,1289000
2023,0,3070372,179000