Date,Units
12/31/2008,209082
03/31/2009,168074
06/30/2009,146917
09/30/2009,147093
12/31/2009,144472
03/31/2010,150981
06/30/2010,160831
09/30/2010,162328
12/31/2010,164323
03/31/2011,165064
06/30/2011,163490
09/30/2011,163031
12/31/2011,166176
03/31/2012,179573
06/30/2012,178178
09/30/2012,174061
12/31/2012,180697
03/31/2013,175086
06/30/2013,190677
09/30/2013,204610
12/31/2013,212755
03/31/2014,212450
06/30/2014,216800
09/30/2014,220009
12/31/2014,227715
03/31/2015,240783
06/30/2015,241581
09/30/2015,254922
12/31/2015,267699
03/31/2016,269580
06/30/2016,298409
09/30/2016,306121
12/31/2016,316094
03/31/2017,328671
06/30/2017,327619
09/30/2017,332106
12/31/2017,321831
03/31/2018,314040
06/30/2018,303364
09/30/2018,301127
12/31/2018,315820
03/31/2019,326933
06/30/2019,335709
09/30/2019,328632
12/31/2019,328424
03/31/2020,314965
06/30/2020,289443
09/30/2020,295149
12/31/2020,288131
03/31/2021,309936
06/30/2021,334409
09/30/2021,324949
12/31/2021,314804
03/31/2022,301855
06/30/2022,285913
09/30/2022,289582
12/31/2022,290837
03/31/2023,270119
06/30/2023,264401
09/30/2023,244481
12/31/2023,232748