code,area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000001,City of London,0.183788721,0.143740286,0.107265199,0.144162029,0.116491929,0.084644142,0.163809381,0.118422823,0.123437955,0.180398901,0.211584237,0.143618176,0.213439824,0.404066318,0.478711505,0.433957525,0.392303381,0.313458185,0.392143719,0.360060618
E09000002,Barking and Dagenham,1.807812691,2.22739012,2.856945133,2.438937928,1.961343699,1.931532294,1.963211664,2.123536536,2.262104548,2.501981016,2.436745129,1.927155525,1.294409254,1.318025847,1.488330475,1.285128234,1.570458933,1.761065074,1.60432587,1.627109374
E09000003,Barnet,4.017732827,4.402192332,4.020714871,3.923097829,4.797565556,4.293338976,4.600417651,4.307630198,4.18302104,4.297540168,4.164683064,4.405404051,3.785114294,3.691113748,3.529938111,4.10794519,4.422442244,4.926422815,5.153729276,5.257340793
E09000004,Bexley,2.407075309,2.520713793,2.663175742,2.655180971,2.523595559,2.420587336,2.194545523,2.652402099,3.165004646,2.142869186,1.916600547,1.970574974,2.149889838,2.355450085,2.420401163,2.327463511,1.799613924,1.735988419,1.783080842,2.146690519
E09000005,Brent,3.974291856,3.230066261,2.862712079,3.233010741,2.699522145,2.66629047,2.93856523,3.189341946,3.228804039,1.90514727,2.082341532,1.791887243,1.666207656,1.768591861,1.679218552,2.31909134,2.860701164,3.11634428,3.579568307,3.205223158
E09000006,Bromley,4.260556713,4.372976826,4.360964695,4.179517175,4.299503126,4.247490066,4.397844219,4.467770152,4.424349177,4.472881156,4.665432425,4.594111655,4.552809143,4.226661963,4.45306092,4.177713281,3.823401208,3.976929478,4.073378916,4.215899639
E09000007,Camden,3.396192789,3.384324129,2.991891674,3.221194182,3.441266671,3.047189109,3.605056833,3.859507469,3.976366486,4.727462782,5.040994446,4.370334497,4.90223079,4.839175192,5.620759078,5.411213128,5.784918114,5.438214542,5.02524914,4.922347686
E09000008,Croydon,5.176158704,5.113882039,5.355186215,4.789251657,4.27810665,4.780042792,4.511635468,4.895707173,5.001317596,4.798273566,4.520849863,5.227033617,4.836821812,5.629670013,5.473119081,5.176792342,5.092471511,4.428309264,4.113598784,4.496199993
E09000009,Ealing,3.804983459,3.471970644,3.487849044,4.024720243,3.657608825,3.571512544,3.373722975,3.279504777,3.292603431,4.273936574,4.459137794,5.358961941,6.174263288,6.713593945,6.260532399,3.620963916,3.164580609,3.40472581,3.606381552,3.594909016
E09000010,Enfield,5.005736436,5.026235524,5.251381184,3.803750576,3.012148444,2.94843761,3.203661327,3.393890459,3.511740475,3.749599582,3.38358459,3.184649555,3.955521895,3.766475323,4.429199911,4.406552619,3.864499658,3.501612885,3.302498101,3.451340542
E09000011,Greenwich,3.435178275,3.850603592,4.071463997,3.892374774,4.046311485,4.111118949,4.043965938,4.596958687,3.345307277,3.454554651,3.242528432,2.999281909,2.621522996,2.806016099,2.532249646,2.605140513,2.190671897,2.884955147,2.847790142,2.760844547
E09000012,Hackney,3.79495862,4.237416882,4.101452117,4.308317676,4.333975228,4.514354236,3.831388878,4.279370206,3.127557177,3.754657495,3.549325575,3.787511899,3.693885982,3.145944906,2.95279994,2.850724193,3.190734168,2.34010783,2.646690799,2.477125896
E09000013,Hammersmith and Fulham,3.281464072,3.026726344,2.550143597,2.718990393,2.651974419,2.380616492,2.403371222,2.618759252,2.952802319,1.665739383,1.900731729,1.387752376,1.44071881,1.318025847,1.037953918,0.919543438,0.935301077,1.151246424,1.398757653,1.43454531
E09000014,Haringey,2.189870457,1.960944713,1.860416835,2.105710943,2.354801132,2.74623216,2.384614423,2.357690755,2.87374655,2.419368435,2.39266508,4.002939163,4.366909942,3.978129109,3.905749012,3.164680602,3.098574008,2.90547241,3.89015507,3.493499539
E09000015,Harrow,1.652984617,1.61035865,1.318323895,1.328181313,1.742624159,1.631750958,1.519300747,1.633696676,1.771126614,1.701144774,1.477563255,1.377732503,2.478656018,2.716223583,1.674744613,2.729327715,3.433588642,3.179035917,3.205300085,3.386392899
E09000016,Havering,2.86042082,3.080482874,3.018419626,3.374809458,3.322397356,3.284662952,3.134886396,3.212219082,3.210773776,3.186485256,2.551353258,2.257811326,2.167102727,2.288105699,2.427857729,2.328858873,2.531913569,2.227262883,2.128301381,2.496496246
E09000017,Hillingdon,2.820321463,2.690163724,2.477480075,2.444846207,2.310819485,2.254825892,2.298333146,2.247342215,2.208013758,2.891440325,2.434981927,2.336300329,3.096598733,3.291857743,3.336067407,2.875840705,2.685098699,1.795260512,1.700406668,1.881202785
E09000018,Hounslow,2.366975952,2.185319793,1.83734905,1.864653125,1.790171885,1.74696104,2.001975716,1.566410981,1.375847769,3.014516211,3.967204443,1.828626776,1.451046544,1.170509573,1.128924018,2.768397846,3.550656952,4.127389406,3.775081557,4.081446623
E09000019,Islington,2.981832763,2.303350434,2.275636959,2.75798504,2.01840097,2.515811996,2.325843118,2.490916431,2.230204852,2.663834235,3.494666314,4.978206777,2.433902506,2.50296636,2.84691671,2.783746826,2.962824584,2.791487616,2.560664968,2.551188998
E09000020,Kensington and Chelsea,3.412900854,3.39484171,3.088776369,3.823838728,4.03680194,3.355199737,3.32245439,3.531153277,4.20382519,4.230101327,4.000705281,3.582104507,3.549297714,3.397684636,2.857355902,2.884212876,3.432343234,3.441200944,3.570630558,3.543634561
E09000021,Kingston upon Thames,2.66660726,2.235570462,2.51554192,2.598461484,2.594917148,2.473489925,2.65346188,1.889382317,1.635206169,1.684285064,2.316847395,2.013994422,2.621522996,2.482121669,2.520319141,2.338626406,2.259169313,2.107578849,2.172990124,2.257215455
E09000022,Lambeth,3.66574958,3.525727174,4.757730591,4.112162785,4.49326011,4.582539795,5.364444611,4.832458619,4.708672557,3.692276567,3.570483999,3.306558007,2.488983751,2.764326716,2.848408023,2.580024,2.86817361,4.126249558,3.875631228,4.048403086
E09000023,Lewisham,1.766599463,1.859274754,1.677027947,2.273506091,2.418990562,2.603982977,3.176151355,3.169156237,3.12478329,3.19322914,3.235475624,3.558724804,3.755852382,3.950870667,3.665647603,3.262355929,3.691388007,3.691967492,3.178486839,2.722103848
E09000024,Merton,1.517092351,2.437741758,2.403663164,1.681496449,2.057627844,2.057322894,2.105763339,2.219082223,2.434085519,2.006305532,2.329189809,2.08580351,2.046612503,2.302536639,2.132577735,2.090252002,2.34261162,2.606832249,2.71595835,2.905552454
E09000025,Newham,2.94618889,3.667130219,4.667766231,4.770345162,4.86294368,4.37092944,3.631316352,3.323913336,2.969445639,3.32304891,4.217579124,3.381707052,2.30308455,2.74027515,2.823055701,4.567019228,5.109907217,4.881968745,4.551548465,4.34351606
E09000026,Redbridge,2.218831104,2.660948218,3.17758734,3.344086403,2.796994984,2.926100962,2.73349089,2.591844974,2.789143008,2.550874176,2.048840695,2.159282577,2.136119526,2.17907193,2.587428231,2.616303407,2.382464662,2.480309127,2.638870269,2.72780101
E09000027,Richmond upon Thames,2.412644664,2.297507333,2.191439545,2.313682395,2.156289375,1.554160495,1.725625539,1.834208047,2.274587038,2.44297203,2.135237591,1.897095907,2.322018728,2.145399737,2.040116322,1.936762202,1.884301638,1.746247051,1.681413952,1.975775669
E09000028,Southwark,4.944473529,3.182152832,3.264091533,2.977773051,3.23324537,3.52801486,4.210276225,3.605167541,3.66846507,4.498170721,4.975755973,7.810490807,8.677017351,9.530834108,10.08276788,8.794965535,5.253129086,5.671883371,4.973857085,5.860100498
E09000029,Sutton,2.618710806,3.088663215,2.915767984,2.529925438,2.82195754,2.642778209,2.512160658,2.785627776,2.563071247,3.15950972,3.07149784,3.004291845,3.050123933,2.852515794,2.915517113,3.020958334,2.949125101,2.776669592,2.707020602,2.695896904
E09000030,Tower Hamlets,2.280094011,2.431898657,2.874245972,2.626821227,3.504267408,4.941101785,3.676332671,3.217601938,3.213547662,2.677322004,3.034470599,3.079440891,3.921096117,2.676137639,2.732085601,4.615856892,4.441123358,3.789994415,5.057648478,3.032029443
E09000031,Waltham Forest,2.314624013,2.248425284,2.412890278,2.815886183,2.687635214,2.640426983,2.66471596,2.516484995,2.646287846,2.255829245,1.978312616,1.908785758,2.203249793,2.352243209,2.657519946,2.499093015,2.630300766,2.768690657,2.610939804,2.79616695
E09000032,Wandsworth,3.390623434,3.55727992,2.261796288,2.24160138,2.026721822,2.481719217,2.054494754,2.134302247,2.592197057,2.481749364,2.450850745,2.186002238,1.960548058,1.439887118,1.157258967,1.121870901,1.340058534,1.113631442,0.983152344,0.970796349
E09000033,Westminster,4.426523497,4.573979502,4.32290285,4.681720964,4.94971828,4.66483271,5.273161521,5.058538555,4.912553224,4.002495237,2.741779071,2.095823383,1.683420545,1.255491774,1.30340765,1.378617476,2.061149511,2.791487616,2.494749073,2.281143534